epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2676.56,0.94783,0.7666,1.15961,0.96486,0.95979,0.97734,0.68312,0.96429,0.42401,0.8857,0.004357,0.004357,0.004357
59,2723.11,0.94355,0.76838,1.15622,0.9651,0.96086,0.9785,0.68306,0.96168,0.42394,0.88476,0.004258,0.004258,0.004258
60,2769.14,0.93997,0.76136,1.15407,0.9658,0.96012,0.97816,0.6835,0.96047,0.4231,0.88434,0.004159,0.004159,0.004159
61,2815.51,0.93646,0.75564,1.15305,0.96664,0.95964,0.97835,0.68598,0.95654,0.42077,0.88361,0.00406,0.00406,0.00406
62,2861.11,0.93048,0.75012,1.15005,0.96804,0.95938,0.97874,0.68564,0.955,0.41913,0.88341,0.003961,0.003961,0.003961
63,2907.15,0.9269,0.74808,1.14608,0.97027,0.95882,0.97915,0.68647,0.95382,0.41843,0.88355,0.003862,0.003862,0.003862
64,2953.55,0.92354,0.74599,1.14556,0.97007,0.9586,0.97893,0.68714,0.95348,0.41718,0.88337,0.003763,0.003763,0.003763
65,2999.33,0.92268,0.74714,1.14434,0.96917,0.95884,0.9788,0.68786,0.95151,0.41587,0.88304,0.003664,0.003664,0.003664
66,3045.65,0.91145,0.7323,1.13956,0.96995,0.95974,0.97935,0.68986,0.94823,0.41404,0.88246,0.003565,0.003565,0.003565
67,3092.04,0.90879,0.73088,1.13773,0.97014,0.96047,0.97955,0.6906,0.94779,0.41302,0.88233,0.003466,0.003466,0.003466
68,3137.52,0.90658,0.72679,1.13867,0.96857,0.96064,0.97939,0.69203,0.94406,0.4116,0.88186,0.003367,0.003367,0.003367
69,3183.7,0.90163,0.72355,1.13349,0.96702,0.964,0.9796,0.69227,0.94398,0.41063,0.88172,0.003268,0.003268,0.003268
70,3229.45,0.89853,0.7182,1.13317,0.96697,0.96571,0.98122,0.69405,0.94214,0.41004,0.88145,0.003169,0.003169,0.003169
71,3274.8,0.89743,0.72005,1.13118,0.96783,0.9645,0.98093,0.69362,0.94102,0.40915,0.88143,0.00307,0.00307,0.00307
72,3321.17,0.89347,0.71192,1.13336,0.96762,0.96603,0.98103,0.69446,0.93871,0.40854,0.88111,0.002971,0.002971,0.002971
73,3367.15,0.88642,0.70707,1.12503,0.96679,0.96677,0.98111,0.69547,0.93684,0.40762,0.88086,0.002872,0.002872,0.002872
74,3413.32,0.88199,0.70476,1.12585,0.96702,0.9673,0.98117,0.6956,0.93643,0.40658,0.88092,0.002773,0.002773,0.002773
75,3459.56,0.87922,0.70617,1.12309,0.96708,0.96834,0.98138,0.69559,0.93647,0.40613,0.8811,0.002674,0.002674,0.002674
76,3505.62,0.87043,0.6981,1.1215,0.9674,0.96867,0.98143,0.69658,0.93655,0.40557,0.88109,0.002575,0.002575,0.002575
77,3551.7,0.86272,0.69206,1.1158,0.9681,0.9688,0.98156,0.69617,0.93721,0.40503,0.88102,0.002476,0.002476,0.002476
78,3597.67,0.86214,0.68715,1.11405,0.96614,0.97034,0.98128,0.69633,0.93699,0.40464,0.881,0.002377,0.002377,0.002377
79,3643.5,0.85957,0.67886,1.11428,0.96477,0.97027,0.98136,0.69635,0.93782,0.40468,0.8809,0.002278,0.002278,0.002278
80,3689.7,0.84785,0.67439,1.10752,0.96459,0.97037,0.98151,0.69603,0.93829,0.40392,0.881,0.002179,0.002179,0.002179
81,3735.65,0.84969,0.67164,1.10906,0.96428,0.97008,0.98153,0.69622,0.93885,0.4036,0.88111,0.00208,0.00208,0.00208
82,3781.81,0.8397,0.67055,1.10474,0.96499,0.97028,0.98164,0.69601,0.9393,0.40371,0.88126,0.001981,0.001981,0.001981
83,3827.69,0.83777,0.6701,1.10521,0.96589,0.97023,0.98188,0.69631,0.93972,0.40341,0.88139,0.001882,0.001882,0.001882
84,3873.55,0.82847,0.66244,1.10186,0.96611,0.97,0.98197,0.69682,0.94004,0.40335,0.88137,0.001783,0.001783,0.001783
85,3919.84,0.82355,0.65374,1.0966,0.96541,0.96973,0.98192,0.69672,0.94012,0.40285,0.88133,0.001684,0.001684,0.001684
86,3965.57,0.81302,0.64924,1.09394,0.96797,0.96927,0.98204,0.69694,0.94185,0.40257,0.88153,0.001585,0.001585,0.001585
87,4011.94,0.81148,0.64142,1.0924,0.96706,0.96942,0.98202,0.69649,0.9421,0.40261,0.88153,0.001486,0.001486,0.001486
88,4057.94,0.80848,0.64006,1.09324,0.96703,0.96811,0.98038,0.69647,0.94317,0.40197,0.88169,0.001387,0.001387,0.001387
89,4103.81,0.79952,0.6293,1.08561,0.96478,0.96913,0.98055,0.69677,0.94351,0.40197,0.88175,0.001288,0.001288,0.001288
90,4150.06,0.79443,0.63104,1.08621,0.96448,0.9691,0.98066,0.69656,0.94401,0.40195,0.88202,0.001189,0.001189,0.001189
91,4196.57,0.78321,0.62182,1.0783,0.96634,0.96847,0.9809,0.69632,0.94431,0.40141,0.88198,0.00109,0.00109,0.00109
92,4242.59,0.77666,0.61538,1.07756,0.96519,0.96788,0.98071,0.69601,0.94569,0.40152,0.88224,0.000991,0.000991,0.000991
93,4289.03,0.77214,0.6137,1.07477,0.96596,0.96898,0.98068,0.69569,0.94678,0.40199,0.88249,0.000892,0.000892,0.000892
94,4335.11,0.76693,0.60663,1.07261,0.96631,0.96995,0.98091,0.69548,0.94827,0.40151,0.88281,0.000793,0.000793,0.000793
95,4381.85,0.75763,0.59782,1.06565,0.96565,0.97006,0.9808,0.69596,0.95029,0.40175,0.88302,0.000694,0.000694,0.000694
96,4427.65,0.75549,0.59372,1.066,0.96589,0.97034,0.98091,0.69529,0.95247,0.4018,0.88336,0.000595,0.000595,0.000595
